nm,abs,blue,bluegreen,green,orange,white,yellow,red
504.81,0.19489476,352.52,3436.834,10,11,1683,11.707,17
505.15,0.19489476,340,3411,16.501,16.576,1670.087,19,13.854
505.5,0.19489476,335.52,3348.834,13,8,1668,13.707,6
505.85,0.19489476,328,3304,17.501,16.576,1648.087,11,13.854
506.19,0.19417824,314.52,3264.834,9,14,1633,12.707,13
506.54,0.19489476,292,3189,12.501,16.576,1634.087,9,13.854
506.88,0.19561129,297.52,3136.834,20,18,1612,16.707,9
507.23,0.19632781,272,3091,15.501,12.576,1609.087,11,13.854
507.57,0.19561129,284.52,3041.834,7,12,1572,14.707,9
507.92,0.19632781,276,2972,20.501,8.576,1592.087,17,7.854
508.26,0.19632781,271.52,2908.834,16,9,1580,17.707,19
508.61,0.19632781,256,2854,13.501,12.576,1559.087,18,9.854
508.95,0.19632781,252.52,2795.834,12,16,1552,15.707,12
509.3,0.19632781,244,2757,10.501,8.576,1564.087,20,17.854
509.64,0.19704433,226.52,2689.834,16,11,1533,16.707,13
509.99,0.19632781,232,2660,18.501,9.576,1532.087,19,9.854
510.34,0.19632781,214.52,2608.834,13,15,1529,18.707,8
510.68,0.19561129,214,2525,14.501,8.576,1522.087,12,11.854
511.03,0.19632781,209.52,2440.834,20,11,1504,9.707,12
511.37,0.19561129,205,2412,21.501,18.576,1504.087,12,8.854
511.72,0.19632781,203.52,2368.834,20,15,1482,11.707,16
512.06,0.19561129,187,2291,22.501,12.576,1486.087,14,12.854
512.41,0.19561129,194.52,2236.834,25,16,1501,13.707,7
512.75,0.19561129,177,2197,24.501,7.576,1472.087,14,7.854
513.1,0.19561129,185.52,2173.834,16,18,1453,13.707,16
513.44,0.19489476,160,2111,11.501,11.576,1459.087,15,16.854
513.78,0.19489476,152.52,2046.834,18,11,1473,8.707,13
514.13,0.19417824,156,1982,40.501,33.576,1436.087,15,17.854
514.47,0.19417824,159.52,1920.834,26,20,1459,18.707,17
514.82,0.19346171,139,1902,25.501,12.576,1439.087,3,10.854
515.16,0.19274519,142.52,1868.834,16,11,1442,15.707,16
515.51,0.19274519,133,1832,26.501,14.576,1467.087,18,12.854
515.85,0.19202866,135.52,1757.834,24,10,1440,10.707,9
516.2,0.19131214,128,1729,35.501,29.576,1451.087,21,17.854
516.54,0.19131214,124.52,1685.834,28,16,1436,16.707,13
516.89,0.19059561,119,1649,31.501,12.576,1436.087,11,18.854
517.23,0.18987909,130.52,1602.834,30,13,1419,9.707,14
517.57,0.18916256,122,1565,31.501,18.576,1419.087,12,5.854
517.92,0.18916256,115.52,1538.834,29,8,1428,13.707,12
518.26,0.18772951,100,1503,25.501,9.576,1415.087,12,14.854
518.61,0.18772951,95.52,1472.834,26,13,1419,6.707,13
518.95,0.18629646,91,1462,26.501,12.576,1424.087,13,12.854
519.3,0.18557994,96.52,1418.834,29,11,1426,16.707,14
519.64,0.18414689,93,1381,32.501,14.576,1425.087,12,8.854
519.98,0.18343036,97.52,1351.834,34,14,1430,15.707,9
520.33,0.18199731,101,1331,31.501,16.576,1433.087,15,13.854
520.67,0.18199731,91.52,1309.834,37,13,1421,10.707,11
521.02,0.18056426,79,1279,31.501,10.576,1426.087,17,10.854
521.36,0.17984774,79.52,1253.834,36,8,1416,9.707,11
521.7,0.17913121,81,1229,40.501,16.576,1432.087,12,18.854
522.05,0.17769816,76.52,1195.834,33,14,1410,5.707,9
522.39,0.17698164,79,1130,39.501,8.576,1402.087,14,5.854
522.73,0.17626511,79.52,1112.834,36,14,1425,14.707,13
523.08,0.17411554,78,1102,42.501,13.576,1428.087,11,16.854
523.42,0.17339901,76.52,1088.834,34,10,1415,16.707,21
523.77,0.17196597,69,1047,46.501,22.576,1397.087,20,14.854
524.11,0.17053292,66.52,1032.834,43,6,1427,15.707,15
524.45,0.16981639,72,1012,42.501,11.576,1413.087,16,10.854
524.8,0.16838334,70.52,950.834,46,18,1412,8.707,12
525.14,0.16695029,66,960,57.501,16.576,1418.087,17,10.854
525.48,0.16551724,69.52,929.834,54,13,1414,8.707,12
525.83,0.16408419,62,929,55.501,17.576,1427.087,13,13.854
526.17,0.16265114,64.52,905.834,50,13,1425,19.707,14
526.51,0.16121809,59,872,46.501,14.576,1413.087,15,18.854
526.86,0.16050157,63.52,857.834,63,20,1399,15.707,14
527.2,0.15906852,56,815,57.501,11.576,1416.087,19,16.854
527.54,0.15691894,58.52,800.834,60,13,1402,16.707,10
527.89,0.15620242,56,774,72.501,13.576,1415.087,13,7.854
528.23,0.15405284,57.52,778.834,66,15,1408,18.707,18
528.57,0.15261979,52,752,62.501,19.576,1395.087,17,10.854
528.92,0.15118674,51.52,730.834,69,10,1416,14.707,15
529.26,0.14903717,43,698,77.501,14.576,1405.087,12,12.854
529.6,0.14760412,52.52,689.834,83,19,1402,10.707,13
529.94,0.1468876,49,664,83.501,22.576,1419.087,13,11.854
530.29,0.14545455,51.52,655.834,74,18,1394,15.707,14
530.63,0.14330497,46,635,88.501,17.576,1397.087,15,20.854
530.97,0.14187192,41.52,616.834,100,18,1403,7.707,15
531.32,0.13972235,47,607,92.501,17.576,1396.087,15,9.854
531.66,0.13900582,40.52,587.834,103,11,1383,13.707,12
532,0.13685625,43,591,99.501,16.576,1435.087,25,17.854
532.34,0.13470667,41.52,552.834,109,21,1410,16.707,16
532.69,0.13327362,38,556,106.501,19.576,1407.087,11,13.854
533.03,0.1325571,40.52,532.834,115,19,1400,19.707,16
533.37,0.13040752,35,515,122.501,15.576,1419.087,16,7.854
533.71,0.12825795,34.52,502.834,122,28,1410,11.707,10
534.06,0.1268249,41,506,129.501,20.576,1415.087,14,17.854
534.4,0.12610837,44.52,486.834,131,28,1379,9.707,13
534.74,0.12324227,35,479,146.501,26.576,1403.087,11,22.854
535.08,0.12180923,37.52,472.834,148,19,1407,9.707,10
535.42,0.12037618,32,460,148.501,26.576,1416.087,11,9.854
535.77,0.11894313,32.52,427.834,162,26,1409,18.707,11
